Brand,Price,Horsepower,Fuel Efficiency,Encoded_Brand,Scaled_Brand,Scaled_Horsepower,Scaled_Fuel_Efficiency,Performance_Index
Brand B,76666,206,34.2,5,0.5,0.265,0.9680000000000001,7045.200000000001
Brand W,43873,101,16.3,1,0.0,0.0025,0.252,1646.3000000000002
Brand Y,40489,362,12.7,3,0.25,0.655,0.10799999999999997,4597.4
Brand W,33376,399,19.6,1,0.0,0.7475,0.38400000000000006,7820.400000000001
Brand A,47583,117,19.9,4,0.375,0.0425,0.39599999999999996,2328.2999999999997
Brand W,37124,233,32.3,1,0.0,0.3325,0.8919999999999999,7525.9
Brand Z,79096,435,11.0,7,0.75,0.8375,0.04,4785.0
Brand W,90471,230,28.1,1,0.0,0.325,0.7240000000000001,6463.0
Brand C,33751,204,14.1,6,0.625,0.26,0.16399999999999998,2876.4
Brand W,36621,200,14.2,1,0.0,0.25,0.16799999999999998,2840.0
Brand E,60993,182,29.5,2,0.125,0.205,0.78,5369.0
Brand D,31850,228,15.6,9,1.0,0.32,0.22399999999999998,3556.7999999999997
Brand Y,43658,105,25.1,3,0.25,0.0125,0.6040000000000001,2635.5
Brand E,64735,497,29.8,2,0.125,0.9925,0.792,14810.6
Brand B,94842,458,18.6,5,0.5,0.895,0.3440000000000001,8518.800000000001
Brand X,42909,431,15.2,8,0.875,0.8275,0.20799999999999996,6551.2
Brand B,61557,427,22.7,5,0.5,0.8175,0.508,9692.9
Brand A,90233,416,19.7,4,0.375,0.79,0.38799999999999996,8195.199999999999
Brand D,32535,311,28.1,9,1.0,0.5275,0.7240000000000001,8739.1
Brand W,30554,140,29.7,1,0.0,0.1,0.7879999999999999,4158.0
Brand Z,89387,305,34.4,7,0.75,0.5125,0.976,10492.0
Brand E,69573,163,26.9,2,0.125,0.1575,0.6759999999999999,4384.7
Brand Z,89570,328,21.2,7,0.75,0.57,0.44799999999999995,6953.599999999999
Brand B,43003,428,27.5,5,0.5,0.82,0.7,11770.0
Brand A,30690,368,29.4,4,0.375,0.67,0.7759999999999999,10819.199999999999
Brand C,42398,389,13.9,6,0.625,0.7225,0.15600000000000003,5407.1
Brand A,94948,331,17.1,4,0.375,0.5775,0.28400000000000003,5660.1
Brand Z,40921,326,15.4,7,0.75,0.565,0.21600000000000003,5020.400000000001
Brand Z,95156,320,23.8,7,0.75,0.55,0.552,7616.0
Brand Z,43136,240,16.3,7,0.75,0.35,0.252,3912.0
Brand X,60960,196,19.7,8,0.875,0.24,0.38799999999999996,3861.2
Brand Z,94125,182,20.5,7,0.75,0.205,0.42,3731.0
Brand X,95901,225,28.9,8,0.875,0.3125,0.7559999999999999,6502.5
Brand Y,32801,366,13.9,3,0.25,0.665,0.15600000000000003,5087.400000000001
Brand W,36445,332,20.1,1,0.0,0.58,0.4040000000000001,6673.200000000001
Brand C,32929,101,11.8,6,0.625,0.0025,0.07200000000000002,1191.8000000000002
Brand X,65531,470,23.6,8,0.875,0.925,0.544,11092.0
Brand C,68116,148,27.9,6,0.625,0.12,0.716,4129.2
Brand Y,69421,108,21.8,3,0.25,0.02,0.47200000000000003,2354.4
Brand E,56169,412,26.1,2,0.125,0.78,0.644,10753.2
Brand C,75646,128,27.2,6,0.625,0.07,0.688,3481.6
Brand Y,35355,363,11.7,3,0.25,0.6575,0.06799999999999998,4247.099999999999
Brand Z,81405,463,10.6,7,0.75,0.9075,0.023999999999999987,4907.8
Brand Y,50812,211,22.2,3,0.25,0.2775,0.488,4684.2
Brand B,53564,371,25.3,5,0.5,0.6775,0.612,9386.300000000001
Brand Z,89107,310,10.7,7,0.75,0.525,0.027999999999999973,3317.0
Brand W,74280,403,10.5,1,0.0,0.7575,0.02,4231.5
Brand A,94593,470,22.4,4,0.375,0.925,0.49599999999999994,10528.0
Brand D,52875,383,31.2,9,1.0,0.7075,0.848,11949.6
Brand D,95508,158,34.3,9,1.0,0.145,0.9719999999999999,5419.4
Brand C,47880,439,22.1,6,0.625,0.8475,0.48400000000000004,9701.900000000001
Brand C,72948,476,24.2,6,0.625,0.94,0.568,11519.199999999999
Brand Y,46502,178,26.1,3,0.25,0.195,0.644,4645.8
Brand X,91149,293,23.1,8,0.875,0.4825,0.524,6768.3
Brand A,30395,179,16.0,4,0.375,0.1975,0.24,2864.0
Brand D,78703,253,17.6,9,1.0,0.3825,0.30400000000000005,4452.8
Brand W,39284,357,33.5,1,0.0,0.6425,0.94,11959.5
Brand D,89694,325,22.9,9,1.0,0.5625,0.5159999999999999,7442.499999999999
Brand W,95159,440,19.5,1,0.0,0.85,0.38,8580.0
Brand A,35612,119,22.8,4,0.375,0.0475,0.512,2713.2000000000003
Brand Y,85586,341,19.8,3,0.25,0.6025,0.392,6751.8
Brand C,33808,347,10.3,6,0.625,0.6175,0.012000000000000028,3574.1000000000004
Brand C,42724,153,23.2,6,0.625,0.1325,0.528,3549.6
Brand E,88028,414,33.2,2,0.125,0.785,0.9280000000000002,13744.800000000001
Brand W,81010,462,27.5,1,0.0,0.905,0.7,12705.0
Brand E,45484,443,26.8,2,0.125,0.8575,0.672,11872.4
Brand B,53221,148,30.4,5,0.5,0.12,0.816,4499.2
Brand W,98812,130,17.9,1,0.0,0.075,0.31599999999999995,2327.0
Brand Z,33076,369,30.9,7,0.75,0.6725,0.836,11402.1
Brand X,41069,278,20.8,8,0.875,0.445,0.43200000000000005,5782.400000000001
Brand C,75601,175,23.5,6,0.625,0.1875,0.54,4112.5
Brand D,87429,268,30.8,9,1.0,0.42,0.8320000000000001,8254.4
Brand Z,70153,437,32.5,7,0.75,0.8425,0.9,14202.5
Brand Y,30317,173,14.7,3,0.25,0.1825,0.18799999999999997,2543.1
Brand W,70037,488,12.0,1,0.0,0.97,0.08,5856.0
Brand E,86836,325,30.5,2,0.125,0.5625,0.82,9912.5
Brand A,40156,367,20.0,4,0.375,0.6675,0.4,7340.0
Brand A,38247,339,29.7,4,0.375,0.5975,0.7879999999999999,10068.3
Brand Z,30577,119,31.3,7,0.75,0.0475,0.852,3724.7000000000003
Brand D,46022,337,30.0,9,1.0,0.5925,0.8,10110.0
Brand Z,83741,396,33.7,7,0.75,0.74,0.9480000000000001,13345.2
Brand D,95303,163,13.0,9,1.0,0.1575,0.12,2119.0
Brand W,49245,375,28.9,1,0.0,0.6875,0.7559999999999999,10837.5
Brand Y,80830,456,22.5,3,0.25,0.89,0.5,10260.0
Brand Z,31644,231,14.8,7,0.75,0.3275,0.19200000000000003,3418.8
Brand X,80945,205,31.8,8,0.875,0.2625,0.872,6519.0
Brand X,32776,474,21.9,8,0.875,0.935,0.4759999999999999,10380.599999999999
Brand C,52820,245,11.1,6,0.625,0.3625,0.043999999999999984,2719.5
Brand W,42066,141,28.9,1,0.0,0.1025,0.7559999999999999,4074.8999999999996
Brand Z,37993,256,21.1,7,0.75,0.39,0.44400000000000006,5401.6
Brand C,77087,193,14.1,6,0.625,0.2325,0.16399999999999998,2721.2999999999997
Brand D,98445,299,22.8,9,1.0,0.4975,0.512,6817.2
Brand E,62535,348,17.2,2,0.125,0.62,0.288,5985.599999999999
Brand W,48330,238,18.5,1,0.0,0.345,0.34,4403.0
Brand Z,51536,346,13.1,7,0.75,0.615,0.12399999999999999,4532.599999999999
Brand X,80748,117,12.0,8,0.875,0.0425,0.08,1404.0
Brand E,83003,132,25.0,2,0.125,0.08,0.6,3300.0
Brand A,63152,264,33.9,4,0.375,0.41,0.956,8949.6
Brand A,92534,489,20.8,4,0.375,0.9725,0.43200000000000005,10171.2
Brand Z,48485,300,23.7,7,0.75,0.5,0.5479999999999999,7110.0
Brand B,51695,473,23.5,5,0.5,0.9325,0.54,11115.5
Brand D,94262,276,15.6,9,1.0,0.44,0.22399999999999998,4305.599999999999
Brand W,54302,310,14.7,1,0.0,0.525,0.18799999999999997,4557.0
Brand W,33541,464,26.0,1,0.0,0.91,0.64,12064.0
Brand B,76370,321,22.3,5,0.5,0.5525,0.49200000000000005,7158.3
Brand A,62377,201,13.5,4,0.375,0.2525,0.14,2713.5
Brand E,32154,226,16.0,2,0.125,0.315,0.24,3616.0
Brand D,99375,409,33.1,9,1.0,0.7725,0.924,13537.900000000001
Brand E,60987,353,19.7,2,0.125,0.6325,0.38799999999999996,6954.099999999999
Brand D,38923,186,15.8,9,1.0,0.215,0.23200000000000004,2938.8
Brand W,57825,367,10.8,1,0.0,0.6675,0.03200000000000003,3963.6000000000004
Brand B,57595,258,13.6,5,0.5,0.395,0.144,3508.7999999999997
Brand B,88810,227,17.9,5,0.5,0.3175,0.31599999999999995,4063.2999999999997
Brand D,30077,466,32.2,9,1.0,0.915,0.8880000000000001,15005.2
Brand A,39055,221,23.4,4,0.375,0.3025,0.5359999999999999,5171.4
Brand Y,43856,328,19.0,3,0.25,0.57,0.36,6232.0
Brand B,70557,265,32.6,5,0.5,0.4125,0.904,8639.0
Brand D,50882,451,13.2,9,1.0,0.8775,0.12799999999999997,5953.2
Brand W,77166,212,12.0,1,0.0,0.28,0.08,2544.0
Brand B,58697,204,22.0,5,0.5,0.26,0.48,4488.0
Brand A,59736,152,20.3,4,0.375,0.13,0.41200000000000003,3085.6
Brand X,61560,123,20.8,8,0.875,0.0575,0.43200000000000005,2558.4
Brand Z,60347,149,24.7,7,0.75,0.1225,0.588,3680.2999999999997
Brand C,92963,209,32.7,6,0.625,0.2725,0.9080000000000001,6834.3
Brand X,30241,313,21.2,8,0.875,0.5325,0.44799999999999995,6635.599999999999
Brand X,78932,210,20.0,8,0.875,0.275,0.4,4200.0
Brand C,51628,365,20.4,6,0.625,0.6625,0.4159999999999999,7445.999999999999
Brand D,58097,254,14.8,9,1.0,0.385,0.19200000000000003,3759.2000000000003
Brand C,51137,440,15.4,6,0.625,0.85,0.21600000000000003,6776.0
Brand C,70182,443,29.6,6,0.625,0.8575,0.784,13112.800000000001
Brand D,96922,218,22.0,9,1.0,0.295,0.48,4796.0
Brand X,89813,416,11.7,8,0.875,0.79,0.06799999999999998,4867.2
Brand X,34748,258,29.4,8,0.875,0.395,0.7759999999999999,7585.2
Brand X,66956,367,18.7,8,0.875,0.6675,0.348,6862.9
Brand A,90023,113,30.7,4,0.375,0.0325,0.828,3469.1
Brand W,34783,381,33.9,1,0.0,0.7025,0.956,12915.9
Brand A,37044,193,22.5,4,0.375,0.2325,0.5,4342.5
Brand X,82837,323,34.2,8,0.875,0.5575,0.9680000000000001,11046.6
Brand C,86844,215,19.5,6,0.625,0.2875,0.38,4192.5
Brand X,57635,443,31.2,8,0.875,0.8575,0.848,13821.6
Brand W,53840,266,12.2,1,0.0,0.415,0.08799999999999997,3245.2
Brand Y,74574,281,23.0,3,0.25,0.4525,0.52,6463.0
Brand E,65792,458,12.2,2,0.125,0.895,0.08799999999999997,5587.599999999999
Brand C,60113,187,30.3,6,0.625,0.2175,0.812,5666.1
Brand B,68853,283,10.2,5,0.5,0.4575,0.007999999999999972,2886.6
Brand B,65397,156,11.3,5,0.5,0.14,0.052000000000000025,1762.8000000000002
Brand B,80912,292,16.6,5,0.5,0.48,0.26400000000000007,4847.200000000001
Brand Y,34349,174,30.4,3,0.25,0.185,0.816,5289.599999999999
Brand A,88255,327,26.3,4,0.375,0.5675,0.652,8600.1
Brand D,88467,484,29.1,9,1.0,0.96,0.764,14084.400000000001
Brand W,51826,272,20.5,1,0.0,0.43,0.42,5576.0
Brand E,68039,403,10.2,2,0.125,0.7575,0.007999999999999972,4110.599999999999
Brand X,92850,160,27.8,8,0.875,0.15,0.7120000000000001,4448.0
Brand Z,33157,497,12.9,7,0.75,0.9925,0.11600000000000002,6411.3
Brand Y,30015,454,11.4,3,0.25,0.885,0.056000000000000015,5175.6
Brand W,64585,425,12.4,1,0.0,0.8125,0.09600000000000002,5270.0
Brand E,44803,279,11.5,2,0.125,0.4475,0.06,3208.5
Brand Y,75020,272,17.1,3,0.25,0.43,0.28400000000000003,4651.200000000001
Brand W,40694,109,29.7,1,0.0,0.0225,0.7879999999999999,3237.2999999999997
Brand B,88455,138,25.7,5,0.5,0.095,0.628,3546.6
Brand C,51575,203,33.2,6,0.625,0.2575,0.9280000000000002,6739.6
Brand Y,60904,299,22.3,3,0.25,0.4975,0.49200000000000005,6667.7
Brand A,99201,336,12.0,4,0.375,0.59,0.08,4032.0
Brand Z,70636,327,21.4,7,0.75,0.5675,0.45599999999999996,6997.799999999999
Brand Z,51770,428,28.4,7,0.75,0.82,0.736,12155.199999999999
Brand Y,73219,282,21.0,3,0.25,0.455,0.44,5922.0
Brand X,45476,275,28.9,8,0.875,0.4375,0.7559999999999999,7947.5
Brand Y,67784,452,16.2,3,0.25,0.88,0.24799999999999997,7322.4
Brand Z,61701,373,11.2,7,0.75,0.6825,0.04799999999999997,4177.599999999999
Brand E,40682,218,16.6,2,0.125,0.295,0.26400000000000007,3618.8
Brand W,50728,276,22.1,1,0.0,0.44,0.48400000000000004,6099.6
Brand E,56839,452,25.7,2,0.125,0.88,0.628,11616.4
Brand D,40933,406,21.2,9,1.0,0.765,0.44799999999999995,8607.199999999999
Brand W,95399,405,23.1,1,0.0,0.7625,0.524,9355.5
Brand X,92477,112,17.7,8,0.875,0.03,0.308,1982.3999999999999
Brand D,68464,359,27.3,9,1.0,0.6475,0.6920000000000001,9800.7
Brand Y,72270,220,12.1,3,0.25,0.3,0.08399999999999999,2662.0
Brand Y,37572,389,33.3,3,0.25,0.7225,0.9319999999999999,12953.699999999999
Brand D,38307,277,16.3,9,1.0,0.4425,0.252,4515.1
Brand A,86697,152,18.1,4,0.375,0.13,0.32400000000000007,2751.2000000000003
Brand B,82695,186,28.2,5,0.5,0.215,0.728,5245.2
Brand D,44691,135,30.4,9,1.0,0.0875,0.816,4104.0
Brand B,49065,479,18.9,5,0.5,0.9475,0.3559999999999999,9053.099999999999
Brand E,61524,367,23.2,2,0.125,0.6675,0.528,8514.4
Brand B,74927,447,18.9,5,0.5,0.8675,0.3559999999999999,8448.3
Brand E,48120,318,34.2,2,0.125,0.545,0.9680000000000001,10875.6
Brand Y,51796,278,26.5,3,0.25,0.445,0.66,7367.0
Brand W,78504,338,15.8,1,0.0,0.595,0.23200000000000004,5340.400000000001
Brand Z,90434,173,29.0,7,0.75,0.1825,0.76,5017.0
Brand D,61833,172,16.5,9,1.0,0.18,0.26,2838.0
Brand C,96726,428,22.2,6,0.625,0.82,0.488,9501.6
Brand B,44983,291,21.3,5,0.5,0.4775,0.452,6198.3
Brand X,78877,456,30.7,8,0.875,0.89,0.828,13999.199999999999
Brand Y,36861,159,10.4,3,0.25,0.1475,0.016000000000000014,1653.6000000000001
Brand D,36986,103,19.0,9,1.0,0.0075,0.36,1957.0
Brand D,93982,289,28.9,9,1.0,0.4725,0.7559999999999999,8352.1
Brand E,61230,445,26.7,2,0.125,0.8625,0.6679999999999999,11881.5
Brand D,71454,332,23.8,9,1.0,0.58,0.552,7901.6
Brand C,45576,340,33.7,6,0.625,0.6,0.9480000000000001,11458.000000000002
Brand A,88467,164,10.9,4,0.375,0.16,0.03600000000000001,1787.6000000000001
Brand B,64003,107,16.3,5,0.5,0.0175,0.252,1744.1000000000001
Brand A,93621,206,11.3,4,0.375,0.265,0.052000000000000025,2327.8
Brand Z,88606,257,14.3,7,0.75,0.3925,0.17200000000000004,3675.1000000000004
Brand D,64231,242,29.6,9,1.0,0.355,0.784,7163.200000000001
Brand X,83957,223,34.0,8,0.875,0.3075,0.96,7582.0
Brand D,33612,423,22.5,9,1.0,0.8075,0.5,9517.5
Brand E,54927,429,24.0,2,0.125,0.8225,0.56,10296.0
Brand C,66397,406,28.6,6,0.625,0.765,0.7440000000000001,11611.6
Brand W,75506,136,10.8,1,0.0,0.09,0.03200000000000003,1468.8000000000002
Brand W,88751,277,12.8,1,0.0,0.4425,0.11200000000000003,3545.6000000000004
Brand B,87767,223,33.0,5,0.5,0.3075,0.92,7359.0
Brand Y,59588,455,28.8,3,0.25,0.8875,0.752,13104.0
Brand D,52079,328,25.8,9,1.0,0.57,0.632,8462.4
Brand W,53675,190,13.2,1,0.0,0.225,0.12799999999999997,2508.0
Brand A,83519,258,12.2,4,0.375,0.395,0.08799999999999997,3147.6
Brand C,92287,498,18.1,6,0.625,0.995,0.32400000000000007,9013.800000000001
Brand A,62867,481,19.8,4,0.375,0.9525,0.392,9523.800000000001
Brand W,65478,379,17.8,1,0.0,0.6975,0.31200000000000006,6746.2
Brand X,95611,391,28.7,8,0.875,0.7275,0.748,11221.699999999999
Brand E,63602,397,23.8,2,0.125,0.7425,0.552,9448.6
Brand E,82529,354,25.3,2,0.125,0.635,0.612,8956.2
Brand D,37682,318,17.1,9,1.0,0.545,0.28400000000000003,5437.8
Brand Z,53418,463,15.7,7,0.75,0.9075,0.22799999999999998,7269.099999999999
Brand E,47927,177,26.8,2,0.125,0.1925,0.672,4743.6
Brand E,84376,276,19.5,2,0.125,0.44,0.38,5382.0
Brand X,33492,255,17.1,8,0.875,0.3875,0.28400000000000003,4360.5
Brand A,83794,461,16.4,4,0.375,0.9025,0.25599999999999995,7560.4
Brand B,99691,303,10.4,5,0.5,0.5075,0.016000000000000014,3151.2000000000003
Brand B,64198,483,18.7,5,0.5,0.9575,0.348,9032.1
Brand B,66190,349,31.1,5,0.5,0.6225,0.8440000000000001,10853.9
Brand Y,89715,218,19.9,3,0.25,0.295,0.39599999999999996,4338.2
Brand D,66847,421,23.1,9,1.0,0.8025,0.524,9725.1
Brand B,97763,344,26.8,5,0.5,0.61,0.672,9219.2
Brand C,54775,415,32.8,6,0.625,0.7875,0.9119999999999999,13611.999999999998
Brand Y,79600,206,10.8,3,0.25,0.265,0.03200000000000003,2224.8
Brand Z,52573,198,14.5,7,0.75,0.245,0.18,2871.0
Brand C,67271,296,14.5,6,0.625,0.49,0.18,4292.0
Brand D,78303,256,17.7,9,1.0,0.39,0.308,4531.2
Brand E,80507,159,11.9,2,0.125,0.1475,0.07600000000000001,1892.1000000000001
Brand B,74292,394,15.1,5,0.5,0.735,0.204,5949.4
Brand C,68704,365,29.5,6,0.625,0.6625,0.78,10767.5
Brand W,31065,182,34.1,1,0.0,0.205,0.9640000000000001,6206.2
Brand B,37003,349,25.8,5,0.5,0.6225,0.632,9004.2
Brand Z,81286,439,27.5,7,0.75,0.8475,0.7,12072.5
Brand C,74635,287,26.9,6,0.625,0.4675,0.6759999999999999,7720.299999999999
Brand W,32424,381,31.5,1,0.0,0.7025,0.86,12001.5
Brand W,49313,462,27.6,1,0.0,0.905,0.7040000000000001,12751.2
Brand B,34352,115,23.7,5,0.5,0.0375,0.5479999999999999,2725.5
Brand X,55315,328,19.6,8,0.875,0.57,0.38400000000000006,6428.8
Brand C,94752,497,16.9,6,0.625,0.9925,0.27599999999999997,8399.3
Brand C,37087,364,21.1,6,0.625,0.66,0.44400000000000006,7680.400000000001
Brand Z,79714,232,14.9,7,0.75,0.33,0.196,3456.8
Brand X,71018,391,33.6,8,0.875,0.7275,0.9440000000000001,13137.6
Brand E,86444,223,18.6,2,0.125,0.3075,0.3440000000000001,4147.8
Brand A,55010,406,16.3,4,0.375,0.765,0.252,6617.8
Brand Z,58372,136,10.0,7,0.75,0.09,0.0,1360.0
Brand C,87363,376,10.4,6,0.625,0.69,0.016000000000000014,3910.4
Brand W,90202,182,28.9,1,0.0,0.205,0.7559999999999999,5259.8
Brand E,46663,389,15.0,2,0.125,0.7225,0.2,5835.0
Brand W,64526,359,29.5,1,0.0,0.6475,0.78,10590.5
Brand X,42717,498,27.5,8,0.875,0.995,0.7,13695.0
Brand B,42957,479,26.8,5,0.5,0.9475,0.672,12837.2
Brand W,61811,155,21.0,1,0.0,0.1375,0.44,3255.0
Brand Y,93254,350,16.8,3,0.25,0.625,0.272,5880.0
Brand B,71563,368,24.9,5,0.5,0.67,0.596,9163.199999999999
Brand C,42784,242,33.3,6,0.625,0.355,0.9319999999999999,8058.599999999999
Brand E,61820,207,11.0,2,0.125,0.2675,0.04,2277.0
Brand B,39125,303,14.5,5,0.5,0.5075,0.18,4393.5
Brand A,34868,282,15.0,4,0.375,0.455,0.2,4230.0
Brand Z,39096,444,27.9,7,0.75,0.86,0.716,12387.599999999999
Brand W,38304,477,22.7,1,0.0,0.9425,0.508,10827.9
Brand A,94724,371,28.9,4,0.375,0.6775,0.7559999999999999,10721.9
Brand Z,63328,301,24.5,7,0.75,0.5025,0.58,7374.5
Brand Z,98965,188,23.6,7,0.75,0.22,0.544,4436.8
Brand C,93532,138,16.5,6,0.625,0.095,0.26,2277.0
Brand Y,68051,476,12.5,3,0.25,0.94,0.1,5950.0
Brand D,31937,362,23.7,9,1.0,0.655,0.5479999999999999,8579.4
Brand Z,98901,269,28.0,7,0.75,0.4225,0.72,7532.0
Brand D,59524,449,15.9,9,1.0,0.8725,0.23600000000000002,7139.1
Brand E,56793,322,12.4,2,0.125,0.555,0.09600000000000002,3992.8
Brand A,55210,487,15.6,4,0.375,0.9675,0.22399999999999998,7597.2
Brand W,65947,210,13.2,1,0.0,0.275,0.12799999999999997,2772.0
Brand Z,98835,313,17.9,7,0.75,0.5325,0.31599999999999995,5602.7
Brand Z,45482,496,34.8,7,0.75,0.99,0.9919999999999999,17260.8
Brand Z,37148,239,18.1,7,0.75,0.3475,0.32400000000000007,4325.900000000001
Brand W,78009,129,12.7,1,0.0,0.0725,0.10799999999999997,1638.3
Brand D,35049,413,29.9,9,1.0,0.7825,0.7959999999999999,12348.699999999999
Brand B,98465,238,27.2,5,0.5,0.345,0.688,6473.599999999999
Brand E,35531,315,16.2,2,0.125,0.5375,0.24799999999999997,5103.0
Brand Z,54716,179,22.5,7,0.75,0.1975,0.5,4027.5
Brand D,34334,242,25.9,9,1.0,0.355,0.6359999999999999,6267.799999999999
Brand B,54299,357,12.2,5,0.5,0.6425,0.08799999999999997,4355.4
Brand X,70498,257,26.2,8,0.875,0.3925,0.648,6733.4
Brand Z,41568,420,26.7,7,0.75,0.8,0.6679999999999999,11214.0
Brand W,48819,373,13.1,1,0.0,0.6825,0.12399999999999999,4886.3
Brand W,84934,159,25.8,1,0.0,0.1475,0.632,4102.2
Brand E,65785,394,31.3,2,0.125,0.735,0.852,12332.2
Brand B,60060,197,11.7,5,0.5,0.2425,0.06799999999999998,2304.8999999999996
Brand Y,75405,205,28.8,3,0.25,0.2625,0.752,5904.0
Brand Z,61560,135,18.3,7,0.75,0.0875,0.332,2470.5
Brand E,69897,142,13.7,2,0.125,0.105,0.14799999999999996,1945.3999999999999
Brand C,35176,157,28.6,6,0.625,0.1425,0.7440000000000001,4490.2
Brand A,48971,334,20.1,4,0.375,0.585,0.4040000000000001,6713.400000000001
Brand Y,46983,428,22.8,3,0.25,0.82,0.512,9758.4
Brand W,58648,348,34.3,1,0.0,0.62,0.9719999999999999,11936.4
Brand B,42948,255,26.3,5,0.5,0.3875,0.652,6706.5
Brand W,57769,410,22.0,1,0.0,0.775,0.48,9020.0
Brand Y,99650,249,24.4,3,0.25,0.3725,0.576,6075.599999999999
Brand B,86107,289,15.5,5,0.5,0.4725,0.22,4479.5
Brand A,42266,240,29.5,4,0.375,0.35,0.78,7080.0
Brand D,73219,258,15.4,9,1.0,0.395,0.21600000000000003,3973.2000000000003
Brand W,91610,321,18.6,1,0.0,0.5525,0.3440000000000001,5970.6
Brand C,57808,174,33.1,6,0.625,0.185,0.924,5759.400000000001
Brand B,34906,143,33.9,5,0.5,0.1075,0.956,4847.7
Brand C,58013,479,13.7,6,0.625,0.9475,0.14799999999999996,6562.299999999999
Brand E,56890,211,24.3,2,0.125,0.2775,0.5720000000000001,5127.3
Brand W,36230,342,18.8,1,0.0,0.605,0.35200000000000004,6429.6
Brand A,55788,451,17.3,4,0.375,0.8775,0.29200000000000004,7802.3
Brand W,82758,184,28.2,1,0.0,0.21,0.728,5188.8
Brand B,98382,393,16.6,5,0.5,0.7325,0.26400000000000007,6523.8
Brand D,83314,195,19.6,9,1.0,0.2375,0.38400000000000006,3822.0000000000005
Brand B,60637,307,10.1,5,0.5,0.5175,0.003999999999999986,3100.7
Brand E,32280,470,22.3,2,0.125,0.925,0.49200000000000005,10481.0
Brand C,56320,470,17.9,6,0.625,0.925,0.31599999999999995,8413.0
Brand B,49558,487,15.5,5,0.5,0.9675,0.22,7548.5
Brand X,70447,179,22.8,8,0.875,0.1975,0.512,4081.2000000000003
Brand X,61304,495,22.1,8,0.875,0.9875,0.48400000000000004,10939.5
Brand D,96918,496,17.9,9,1.0,0.99,0.31599999999999995,8878.4
Brand X,56965,492,32.0,8,0.875,0.98,0.88,15744.0
Brand A,37049,215,15.8,4,0.375,0.2875,0.23200000000000004,3397.0
Brand X,30810,452,23.3,8,0.875,0.88,0.532,10531.6
Brand D,94609,376,30.0,9,1.0,0.69,0.8,11280.0
Brand B,80435,100,34.0,5,0.5,0.0,0.96,3400.0
Brand X,91126,407,10.4,8,0.875,0.7675,0.016000000000000014,4232.8
Brand D,73489,382,34.8,9,1.0,0.705,0.9919999999999999,13293.599999999999
Brand Y,35447,150,23.2,3,0.25,0.125,0.528,3480.0
Brand A,49510,481,19.0,4,0.375,0.9525,0.36,9139.0
Brand B,32564,337,34.1,5,0.5,0.5925,0.9640000000000001,11491.7
Brand D,44038,252,15.4,9,1.0,0.38,0.21600000000000003,3880.8
Brand W,53328,106,16.1,1,0.0,0.015,0.24400000000000005,1706.6000000000001
Brand D,76953,149,22.9,9,1.0,0.1225,0.5159999999999999,3412.1
Brand X,89463,448,29.6,8,0.875,0.87,0.784,13260.800000000001
Brand Z,87809,339,13.8,7,0.75,0.5975,0.15200000000000002,4678.2
Brand W,57805,335,16.3,1,0.0,0.5875,0.252,5460.5
Brand B,75854,233,23.2,5,0.5,0.3325,0.528,5405.599999999999
Brand C,55884,232,19.1,6,0.625,0.33,0.36400000000000005,4431.200000000001
Brand Z,49339,194,29.1,7,0.75,0.235,0.764,5645.400000000001
Brand W,36395,143,31.3,1,0.0,0.1075,0.852,4475.900000000001
Brand C,48001,200,22.9,6,0.625,0.25,0.5159999999999999,4580.0
Brand Z,36804,192,16.1,7,0.75,0.23,0.24400000000000005,3091.2000000000003
Brand B,52424,304,27.3,5,0.5,0.51,0.6920000000000001,8299.2
Brand X,80462,249,26.5,8,0.875,0.3725,0.66,6598.5
Brand Z,95518,480,17.7,7,0.75,0.95,0.308,8496.0
Brand E,30127,234,20.4,2,0.125,0.335,0.4159999999999999,4773.599999999999
Brand X,86059,210,13.7,8,0.875,0.275,0.14799999999999996,2877.0
Brand A,70594,223,33.6,4,0.375,0.3075,0.9440000000000001,7492.8
Brand B,68456,101,31.4,5,0.5,0.0025,0.856,3171.3999999999996
Brand E,83196,412,20.0,2,0.125,0.78,0.4,8240.0
Brand X,65630,415,13.2,8,0.875,0.7875,0.12799999999999997,5478.0
Brand X,85173,463,27.1,8,0.875,0.9075,0.684,12547.300000000001
Brand A,67350,222,32.6,4,0.375,0.305,0.904,7237.200000000001
Brand E,37694,281,29.6,2,0.125,0.4525,0.784,8317.6
Brand Z,82876,109,19.6,7,0.75,0.0225,0.38400000000000006,2136.4
Brand E,77329,218,20.1,2,0.125,0.295,0.4040000000000001,4381.8
Brand B,67405,258,32.7,5,0.5,0.395,0.9080000000000001,8436.6
Brand Y,46727,229,30.7,3,0.25,0.3225,0.828,7030.3
Brand A,65709,487,26.7,4,0.375,0.9675,0.6679999999999999,13002.9
Brand C,52127,425,22.3,6,0.625,0.8125,0.49200000000000005,9477.5
Brand A,49990,134,33.9,4,0.375,0.085,0.956,4542.599999999999
Brand Z,48557,129,28.2,7,0.75,0.0725,0.728,3637.7999999999997
Brand C,92432,280,27.2,6,0.625,0.45,0.688,7616.0
Brand A,30298,188,20.5,4,0.375,0.22,0.42,3854.0
Brand Z,70656,212,26.2,7,0.75,0.28,0.648,5554.4
